epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8131,3.05982,3.17869,2.96933,0.05089,0.26279,0.03867,0.01643,3.3789,3.03503,3.85979,1.667e-05,1.667e-05,1.667e-05
2,23.2959,2.93687,3.21473,2.86093,0.0593,0.29767,0.06471,0.02147,3.2651,3.05466,3.78781,4.0108e-05,4.0108e-05,4.0108e-05
3,33.9511,3.00301,3.15519,2.93018,0.06865,0.43256,0.09088,0.02994,3.14188,3.06526,3.69559,5.03434e-05,5.03434e-05,5.03434e-05
4,44.9259,2.77155,3.13817,2.79569,0.06063,0.4093,0.08897,0.0316,3.09382,3.04499,3.59354,4.73761e-05,4.73761e-05,4.73761e-05
5,55.8554,2.82945,3.21124,2.79078,0.04768,0.36279,0.08798,0.03054,3.06685,3.04839,3.49666,3.12062e-05,3.12062e-05,3.12062e-05
